pair_id,resume_id,job_id,resume_text,job_description,match_score,normalized_score,notes
1,R001,J101,"HTML CSS JavaScript React Figma responsive design wireframes prototypes usability testing design systems","UI/UX Engineer role focused on user-centered interface design, wireframing, prototyping, and collaboration with product and development teams",5,1.0,"Strong direct fit for UI/UX Engineer"
2,R002,J101,"Python Django REST API PostgreSQL Docker backend services CI/CD Linux deployment","UI/UX Engineer role focused on user-centered interface design, wireframing, prototyping, and collaboration with product and development teams",1,0.2,"Backend profile with little UI/UX alignment"
3,R003,J102,"React Next.js TypeScript FastAPI LangChain LLM integration vector database prompt engineering AWS","Senior Full Stack AI Engineer role building enterprise applications powered by AI and modern full-stack technologies",5,1.0,"Excellent full-stack AI match"
4,R004,J102,"Adobe Photoshop Illustrator branding posters social media graphics print design","Senior Full Stack AI Engineer role building enterprise applications powered by AI and modern full-stack technologies",1,0.2,"Creative profile but not software engineering"
5,R005,J103,"Telecom network operations fiber transmission NOC incident handling access network maintenance leadership","Deputy Chief Engineer role overseeing transmission, access network, operations, and maintenance activities",5,1.0,"Very strong telecom engineering fit"
6,R006,J103,"Cashier customer support invoice handling Microsoft Office filing","Deputy Chief Engineer role overseeing transmission, access network, operations, and maintenance activities",1,0.2,"No relevant engineering background"
7,R007,J104,"Enterprise sales account management lead generation telecom services negotiation CRM pipeline","B2B Sales Manager role focused on acquiring enterprise clients and meeting sales targets for telecom services",5,1.0,"Strong telecom sales fit"
8,R008,J104,"Java Spring Boot MySQL REST API unit testing Git Agile","B2B Sales Manager role focused on acquiring enterprise clients and meeting sales targets for telecom services",1,0.2,"Developer profile not aligned with sales"
9,R009,J105,"Cloud sales digital transformation solution selling channel partners business development leadership","Digital and Cloud Sales leadership role driving cloud and digital service revenue growth and go-to-market execution",5,1.0,"Strong strategic cloud sales fit"
10,R010,J105,"Recruitment onboarding payroll employee relations training coordination","Digital and Cloud Sales leadership role driving cloud and digital service revenue growth and go-to-market execution",1,0.2,"HR profile not suitable for digital sales leadership"
11,R011,J106,"Facilities operations sourcing procurement lease negotiation vendor management site supervision","Site and Sourcing Manager role handling nationwide site sourcing, facilities, procurement, and operational coordination",5,1.0,"Strong sourcing and site operations match"
12,R012,J106,"Machine learning NLP PyTorch classification experiments data preprocessing model tuning","Site and Sourcing Manager role handling nationwide site sourcing, facilities, procurement, and operational coordination",1,0.2,"AI profile unrelated to site sourcing"
13,R013,J107,"Customer service operations team supervision complaint resolution service KPIs telecom branch support","Customer Assistant Centre Manager role leading customer service center operations and team performance",5,1.0,"Strong fit for service center management"
14,R014,J107,"Embedded systems C microcontroller PCB testing circuit debugging electronics lab","Customer Assistant Centre Manager role leading customer service center operations and team performance",1,0.2,"Engineering profile not relevant to customer center"
15,R015,J108,"Regulatory compliance telecom licensing stakeholder communication policy documentation reporting government liaison","Regulatory Affairs Manager role focused on telecom compliance, licensing, and authority coordination",5,1.0,"Very strong regulatory fit"
16,R016,J108,"Vue.js frontend animations accessibility components CSS JavaScript","Regulatory Affairs Manager role focused on telecom compliance, licensing, and authority coordination",1,0.2,"Frontend profile not suitable for regulatory role"
17,R017,J101,"Figma Adobe XD user journeys design system accessibility research HTML CSS prototyping","UI/UX Engineer role focused on user-centered interface design, wireframing, prototyping, and collaboration with product and development teams",5,1.0,"Another high-quality positive sample"
18,R018,J102,"Node.js React PostgreSQL Docker Kubernetes API integration cloud deployment problem solving","Senior Full Stack AI Engineer role building enterprise applications powered by AI and modern full-stack technologies",4,0.8,"Strong full-stack fit but AI experience is limited"
19,R019,J104,"Sales presentation market research CRM key accounts proposal writing closing deals communication","B2B Sales Manager role focused on acquiring enterprise clients and meeting sales targets for telecom services",4,0.8,"Good sales fit though telecom domain is less explicit"
20,R020,J103,"ODN FTTH fiber planning troubleshooting NOC monitoring shift lead vendor coordination","Deputy Chief Engineer role overseeing transmission, access network, operations, and maintenance activities",4,0.8,"Strong technical fit with moderate leadership evidence"
21,R021,J101,"React UI components CSS Tailwind Figma prototyping responsive design design systems","UI/UX Engineer role focused on user-centered interface design, wireframing, prototyping, and collaboration with product and development teams",4,0.8,"Good product UI background"
22,R022,J101,"Manual testing Selenium test cases bug tracking QA reporting","UI/UX Engineer role focused on user-centered interface design, wireframing, prototyping, and collaboration with product and development teams",2,0.4,"Some product relevance but not a design profile"
23,R023,J101,"Customer care call center upselling issue escalation service desk","UI/UX Engineer role focused on user-centered interface design, wireframing, prototyping, and collaboration with product and development teams",1,0.2,"Customer support experience only"
24,R024,J101,"UI mockups wireframes prototype testing design sprint stakeholder presentation","UI/UX Engineer role focused on user-centered interface design, wireframing, prototyping, and collaboration with product and development teams",5,1.0,"Strong UI/UX process coverage"
25,R025,J101,"Business analysis requirements gathering workflow mapping user stories Jira documentation","UI/UX Engineer role focused on user-centered interface design, wireframing, prototyping, and collaboration with product and development teams",3,0.6,"Adjacent product role with partial overlap"
26,R026,J102,"Python FastAPI React TypeScript OpenAI APIs vector search RAG Docker","Senior Full Stack AI Engineer role building enterprise applications powered by AI and modern full-stack technologies",5,1.0,"Direct AI application engineering fit"
27,R027,J102,"PHP Laravel jQuery MySQL hosting cPanel maintenance","Senior Full Stack AI Engineer role building enterprise applications powered by AI and modern full-stack technologies",2,0.4,"Software profile but lacks AI and modern stack"
28,R028,J102,"Java backend microservices Kafka Redis Kubernetes AWS Terraform","Senior Full Stack AI Engineer role building enterprise applications powered by AI and modern full-stack technologies",3,0.6,"Strong backend engineer with limited AI exposure"
29,R029,J102,"Prompt engineering agent workflows LangChain embeddings retrieval evaluation Python","Senior Full Stack AI Engineer role building enterprise applications powered by AI and modern full-stack technologies",5,1.0,"Excellent AI-specialized fit"
30,R030,J102,"Data entry spreadsheets reporting communication documentation accuracy","Senior Full Stack AI Engineer role building enterprise applications powered by AI and modern full-stack technologies",1,0.2,"Not relevant to engineering role"
31,R031,J102,"Next.js frontend UX optimization REST GraphQL CI/CD Vercel deployment","Senior Full Stack AI Engineer role building enterprise applications powered by AI and modern full-stack technologies",4,0.8,"Good full-stack fit but weaker AI evidence"
32,R032,J102,"Research assistant NLP transformers fine tuning LoRA Python Hugging Face experiments","Senior Full Stack AI Engineer role building enterprise applications powered by AI and modern full-stack technologies",4,0.8,"Strong AI background but less product engineering breadth"
33,R033,J103,"Transmission planning microwave links fiber backbone maintenance outage response team lead","Deputy Chief Engineer role overseeing transmission, access network, operations, and maintenance activities",5,1.0,"Strong network leadership fit"
34,R034,J103,"Junior electrician wiring installation safety inspection maintenance","Deputy Chief Engineer role overseeing transmission, access network, operations, and maintenance activities",2,0.4,"Technical but below required telecom scope"
35,R035,J103,"NOC dashboard monitoring SLA escalation root cause analysis network optimization","Deputy Chief Engineer role overseeing transmission, access network, operations, and maintenance activities",4,0.8,"Good operations fit"
36,R036,J103,"Project management PMP scheduling budgeting vendors reporting","Deputy Chief Engineer role overseeing transmission, access network, operations, and maintenance activities",3,0.6,"Leadership skills present but telecom depth unclear"
37,R037,J103,"FTTH GPON access network design OLT ONU deployment field troubleshooting","Deputy Chief Engineer role overseeing transmission, access network, operations, and maintenance activities",5,1.0,"Very strong access network relevance"
38,R038,J103,"Human resources benefits payroll compliance employee engagement","Deputy Chief Engineer role overseeing transmission, access network, operations, and maintenance activities",1,0.2,"Not related to engineering"
39,R039,J103,"Vendor coordination preventive maintenance documentation telecom standards safety procedures","Deputy Chief Engineer role overseeing transmission, access network, operations, and maintenance activities",4,0.8,"Good field and maintenance alignment"
40,R040,J103,"Network security firewall SIEM SOC incident response","Deputy Chief Engineer role overseeing transmission, access network, operations, and maintenance activities",2,0.4,"Technical network background but wrong specialization"
41,R041,J104,"Telecom B2B sales key account enterprise solutions tender proposal revenue target CRM","B2B Sales Manager role focused on acquiring enterprise clients and meeting sales targets for telecom services",5,1.0,"Excellent telecom enterprise sales fit"
42,R042,J104,"Retail cashier merchandising stock count POS operation","B2B Sales Manager role focused on acquiring enterprise clients and meeting sales targets for telecom services",1,0.2,"Retail operations not relevant"
43,R043,J104,"Cloud service selling SaaS subscriptions enterprise clients pipeline forecasting","B2B Sales Manager role focused on acquiring enterprise clients and meeting sales targets for telecom services",4,0.8,"Good solution sales fit"
44,R044,J104,"Marketing communications branding campaigns social media analytics content planning","B2B Sales Manager role focused on acquiring enterprise clients and meeting sales targets for telecom services",2,0.4,"Some commercial exposure but not B2B sales"
45,R045,J104,"Relationship manager banking corporate accounts upselling client meetings negotiation","B2B Sales Manager role focused on acquiring enterprise clients and meeting sales targets for telecom services",4,0.8,"Transferable enterprise sales experience"
46,R046,J104,"Cold calling prospecting lead qualification CRM closing presentation objection handling","B2B Sales Manager role focused on acquiring enterprise clients and meeting sales targets for telecom services",5,1.0,"Strong sales process skills"
